name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,ghc,5,12,611,0.048,0,0,0% 0% 0% 100%,0.050
binarytrees,ghc,5,16,611,0.992,15768,0,1% 1% 0% 99%,0.997
binarytrees,ghc,5,20,611,24.266,207260,0,0% 0% 0% 100%,24.284
binarytrees,php,3,12,483,1.096,12156,0,0% 0% 2% 100%,1.117
binarytrees,php,3,16,483,39.140,151576,0,0% 0% 0% 100%,39.189
binarytrees,php,3,20,483,0.000,2106340,-2,1% 2% 1% 100%,13.629
binarytrees,scala,4,12,494,0.280,712,0,0% 0% 4% 100%,0.285
binarytrees,scala,4,16,494,1.004,95640,0,0% 0% 2% 100%,1.010
binarytrees,scala,4,20,494,18.392,505800,0,0% 0% 0% 100%,18.416
binarytrees,scala,2,12,641,0.000,712,-2,0% 0% 4% 96%,0.249
binarytrees,scala,2,16,641,0.000,712,-2,0% 0% 4% 96%,0.249
binarytrees,scala,2,20,641,0.000,712,-2,0% 0% 4% 96%,0.249
binarytrees,yarv,2,12,413,0.508,6736,0,0% 0% 2% 100%,0.512
binarytrees,yarv,2,16,413,9.488,28912,0,1% 0% 0% 100%,9.499
binarytrees,yarv,2,20,413,194.320,452832,0,0% 0% 0% 100%,194.475
binarytrees,oz,1,12,479,2.120,134064,0,4% 11% 12% 100%,2.131
binarytrees,oz,1,16,479,45.776,1555968,0,1% 0% 0% 100%,45.808
binarytrees,oz,1,20,479,1603.720,1556232,0,0% 0% 0% 100%,1604.761
binarytrees,perl,3,12,706,0.000,0,-2,0% 0% 7% 94%,0.152
binarytrees,perl,3,16,706,0.000,0,-2,0% 0% 7% 94%,0.152
binarytrees,perl,3,20,706,0.000,0,-2,0% 0% 7% 94%,0.152
binarytrees,hipe,2,12,499,0.204,624,0,3% 0% 3% 100%,0.312
binarytrees,hipe,2,16,499,1.924,66648,0,3% 0% 1% 100%,1.933
binarytrees,hipe,2,20,499,57.352,647288,0,0% 0% 0% 100%,57.441
binarytrees,go,6,12,871,0.040,0,0,0% 0% 0% 100%,0.043
binarytrees,go,6,16,871,0.788,7524,0,0% 0% 1% 99%,0.792
binarytrees,go,6,20,871,16.952,165296,0,0% 0% 0% 100%,16.967
binarytrees,sbcl,1,12,612,0.068,0,0,13% 0% 0% 78%,0.085
binarytrees,sbcl,1,16,612,1.312,165724,0,4% 0% 2% 100%,1.358
binarytrees,sbcl,1,20,612,27.328,439744,0,0% 0% 0% 100%,27.375
binarytrees,fpascal,1,12,769,0.072,0,0,0% 0% 0% 100%,0.075
binarytrees,fpascal,1,16,769,1.856,8188,0,0% 1% 0% 100%,1.861
binarytrees,fpascal,1,20,769,40.927,131384,0,1% 0% 0% 100%,40.954
binarytrees,ghc,1,12,521,0.040,0,0,29% 0% 0% 67%,0.058
binarytrees,ghc,1,16,521,0.964,13692,0,0% 5% 1% 99%,0.970
binarytrees,ghc,1,20,521,21.753,361864,0,0% 0% 0% 100%,21.780
binarytrees,gcc,1,12,706,0.069,0,0,0% 0% 0% 100%,0.070
binarytrees,gcc,1,16,706,1.526,8644,0,0% 0% 3% 100%,1.528
binarytrees,gcc,1,20,706,36.697,131672,0,0% 0% 1% 100%,36.722
binarytrees,racket,3,12,877,0.000,31144,-10,2% 0% 0% 98%,0.422
binarytrees,racket,3,16,877,0.000,31144,-10,2% 0% 0% 98%,0.422
binarytrees,racket,3,20,877,0.000,31144,-10,2% 0% 0% 98%,0.422
binarytrees,dart,1,12,543,0.096,0,0,8% 0% 0% 91%,0.101
binarytrees,dart,1,16,543,0.984,46736,0,0% 0% 2% 100%,0.989
binarytrees,dart,1,20,543,100.236,252680,0,0% 0% 0% 100%,100.395
binarytrees,php,2,12,472,0.896,6560,0,0% 0% 1% 100%,0.925
binarytrees,php,2,16,472,25.036,67816,0,0% 1% 0% 100%,25.065
binarytrees,php,2,20,472,640.276,1025292,0,0% 0% 0% 100%,641.068
binarytrees,fsharp,2,12,515,0.672,20120,0,1% 1% 1% 99%,1.741
binarytrees,fsharp,2,16,515,6.984,39784,0,1% 3% 6% 100%,6.994
binarytrees,fsharp,2,20,515,144.412,274380,0,0% 0% 0% 100%,144.571
binarytrees,vw,1,12,722,0.240,37000,0,5% 10% 13% 96%,1.185
binarytrees,vw,1,16,722,2.504,142644,0,6% 11% 6% 100%,2.511
binarytrees,vw,1,20,722,81.401,320668,0,0% 0% 0% 100%,81.494
binarytrees,lua,2,12,446,0.840,7356,0,1% 0% 1% 100%,0.843
binarytrees,lua,2,16,446,21.881,133556,0,9% 2% 1% 100%,21.917
binarytrees,lua,2,20,446,461.005,1776376,0,0% 0% 0% 100%,461.638
binarytrees,ats,3,12,2143,0.032,0,0,0% 0% 0% 100%,0.035
binarytrees,ats,3,16,2143,0.896,13312,0,0% 2% 1% 100%,0.901
binarytrees,ats,3,20,2143,16.349,296320,0,0% 0% 0% 100%,16.381
binarytrees,gpp,2,12,553,0.076,0,0,0% 0% 0% 100%,0.077
binarytrees,gpp,2,16,553,1.711,13488,0,0% 0% 2% 100%,1.713
binarytrees,gpp,2,20,553,36.879,197760,0,0% 1% 1% 100%,36.910
binarytrees,go,4,12,688,0.252,256,0,0% 4% 4% 100%,0.255
binarytrees,go,4,16,688,6.460,36220,0,0% 0% 1% 100%,6.471
binarytrees,go,4,20,688,138.036,547728,0,0% 0% 0% 100%,138.201
binarytrees,gcc,7,12,850,0.022,0,0,0% 0% 33% 100%,0.023
binarytrees,gcc,7,16,850,0.427,6848,0,0% 0% 5% 100%,0.429
binarytrees,gcc,7,20,850,9.375,149140,0,0% 0% 1% 100%,9.382
binarytrees,jruby,3,12,439,5.528,193728,0,1% 0% 0% 100%,5.548
binarytrees,jruby,3,16,439,16.112,601540,0,0% 0% 0% 100%,16.144
binarytrees,jruby,3,20,439,619.452,856040,0,0% 0% 0% 100%,620.142
binarytrees,go,7,12,737,0.000,0,-10,0% 0% 0% 100%,0.056
binarytrees,go,7,16,737,0.000,0,-10,0% 0% 0% 100%,0.056
binarytrees,go,7,20,737,0.000,0,-10,0% 0% 0% 100%,0.056
binarytrees,ifc,1,12,826,0.104,0,0,33% 7% 14% 86%,0.134
binarytrees,ifc,1,16,826,2.304,9004,0,1% 2% 1% 100%,2.309
binarytrees,ifc,1,20,826,47.991,132032,0,3% 0% 0% 100%,48.018
binarytrees,csharp,1,12,654,0.172,6644,0,0% 0% 2% 100%,0.602
binarytrees,csharp,1,16,654,3.140,22792,0,1% 0% 1% 100%,3.148
binarytrees,csharp,1,20,654,74.140,142908,0,0% 0% 0% 100%,74.216
binarytrees,ats,1,12,926,0.032,0,0,0% 0% 0% 100%,0.037
binarytrees,ats,1,16,926,0.788,12992,0,0% 0% 0% 100%,0.794
binarytrees,ats,1,20,926,16.933,198256,0,0% 0% 0% 100%,16.950
binarytrees,clojure,1,12,657,1.952,56932,0,0% 1% 0% 99%,1.959
binarytrees,clojure,1,16,657,2.936,203124,0,0% 0% 0% 100%,2.944
binarytrees,clojure,1,20,657,25.812,587432,0,0% 0% 0% 100%,25.849
binarytrees,ocaml,1,12,563,0.048,0,0,0% 0% 0% 100%,0.051
binarytrees,ocaml,1,16,563,0.608,83040,0,0% 0% 3% 100%,0.611
binarytrees,ocaml,1,20,563,14.824,485392,0,0% 0% 0% 100%,14.852
binarytrees,ghc,4,12,612,0.036,0,0,0% 0% 0% 100%,0.040
binarytrees,ghc,4,16,612,0.952,27036,0,0% 1% 0% 100%,0.958
binarytrees,ghc,4,20,612,23.261,361884,0,0% 0% 0% 100%,23.308
binarytrees,perl,1,12,448,1.112,3424,0,0% 1% 1% 100%,1.117
binarytrees,perl,1,16,448,26.500,31520,0,0% 0% 0% 100%,26.523
binarytrees,perl,1,20,448,585.856,480396,0,0% 0% 0% 100%,586.355
binarytrees,ocaml,2,12,784,0.044,0,0,17% 0% 0% 100%,0.052
binarytrees,ocaml,2,16,784,1.684,96932,0,1% 0% 1% 100%,1.701
binarytrees,ocaml,2,20,784,44.368,201748,0,0% 0% 0% 100%,44.469
binarytrees,v8,1,12,467,0.068,564,0,2% 22% 17% 98%,0.468
binarytrees,v8,1,16,467,1.264,50952,0,0% 0% 2% 100%,1.270
binarytrees,v8,1,20,467,40.824,867844,0,0% 1% 1% 100%,40.898
binarytrees,gnat,5,12,2167,0.026,0,0,20% 0% 0% 60%,0.038
binarytrees,gnat,5,16,2167,0.515,13192,0,0% 0% 4% 98%,0.527
binarytrees,gnat,5,20,2167,10.857,158396,0,0% 0% 1% 100%,10.882
binarytrees,jruby,1,12,412,5.484,198588,0,1% 0% 0% 100%,5.502
binarytrees,jruby,1,16,412,13.272,603100,0,0% 0% 0% 100%,13.300
binarytrees,jruby,1,20,412,0.000,859568,-2,0% 0% 0% 100%,694.048
binarytrees,yarv,3,12,439,0.508,6748,0,1% 0% 1% 98%,0.969
binarytrees,yarv,3,16,439,9.744,56372,0,2% 0% 0% 100%,9.771
binarytrees,yarv,3,20,439,201.164,780572,0,0% 1% 0% 100%,201.327
binarytrees,sbcl,2,12,649,0.052,0,0,0% 0% 0% 100%,0.057
binarytrees,sbcl,2,16,649,0.960,165468,0,0% 0% 0% 100%,0.965
binarytrees,sbcl,2,20,649,20.720,448628,0,0% 0% 1% 100%,20.763
binarytrees,lua,3,12,477,0.872,18180,0,9% 28% 25% 99%,0.945
binarytrees,lua,3,16,477,22.013,328644,0,0% 0% 0% 100%,22.058
binarytrees,lua,3,20,477,0.000,3734172,-1,46% 10% 8% 100%,3606.264
binarytrees,java,2,12,603,0.124,0,0,0% 0% 0% 100%,0.130
binarytrees,java,2,16,603,0.908,154092,0,0% 0% 17% 100%,0.914
binarytrees,java,2,20,603,18.216,504076,0,0% 0% 0% 100%,18.242
binarytrees,scala,1,12,549,0.268,428,0,0% 0% 4% 100%,0.270
binarytrees,scala,1,16,549,0.912,95644,0,1% 0% 1% 100%,0.918
binarytrees,scala,1,20,549,17.788,383212,0,0% 0% 0% 100%,17.808
binarytrees,yarv,1,12,412,0.520,6744,0,0% 0% 4% 100%,0.524
binarytrees,yarv,1,16,412,9.464,28912,0,0% 0% 0% 100%,9.485
binarytrees,yarv,1,20,412,193.720,452832,0,0% 0% 0% 100%,193.874
binarytrees,fsharp,3,12,565,0.216,864,0,4% 0% 0% 100%,0.239
binarytrees,fsharp,3,16,565,3.232,30552,0,0% 0% 0% 100%,3.238
binarytrees,fsharp,3,20,565,72.776,245060,0,0% 0% 0% 100%,72.869
binarytrees,python3,6,12,626,0.888,41196,0,0% 0% 2% 92%,0.977
binarytrees,python3,6,16,626,20.821,110636,0,0% 0% 0% 100%,20.847
binarytrees,python3,6,20,626,480.362,1209444,0,0% 0% 0% 100%,480.874
binarytrees,racket,2,12,640,0.216,856,0,0% 0% 9% 100%,0.219
binarytrees,racket,2,16,640,1.352,55444,0,1% 1% 1% 99%,1.359
binarytrees,racket,2,20,640,40.412,395516,0,0% 0% 0% 100%,40.482
binarytrees,hipe,1,12,441,0.212,620,0,0% 9% 5% 100%,0.218
binarytrees,hipe,1,16,441,2.256,68268,0,0% 1% 0% 100%,2.265
binarytrees,hipe,1,20,441,67.660,872752,0,0% 0% 0% 100%,67.771
binarytrees,ifc,2,12,1199,0.052,0,0,0% 0% 0% 100%,0.054
binarytrees,ifc,2,16,1199,1.128,5552,0,0% 2% 1% 100%,1.133
binarytrees,ifc,2,20,1199,23.201,149368,0,0% 0% 0% 100%,23.217
binarytrees,gcc,9,12,1103,0.017,0,0,0% 0% 0% 50%,0.019
binarytrees,gcc,9,16,1103,0.312,928,0,0% 0% 6% 100%,0.314
binarytrees,gcc,9,20,1103,7.254,229028,0,0% 1% 1% 100%,7.265
binarytrees,racket,1,12,495,0.200,612,0,5% 4% 5% 95%,0.216
binarytrees,racket,1,16,495,1.680,85200,0,0% 1% 1% 100%,1.685
binarytrees,racket,1,20,495,49.464,452664,0,0% 0% 0% 100%,49.552
binarytrees,fsharp,1,12,537,0.216,13844,0,0% 0% 2% 100%,1.061
binarytrees,fsharp,1,16,537,3.240,23648,0,0% 0% 0% 100%,3.248
binarytrees,fsharp,1,20,537,75.988,143836,0,0% 0% 0% 100%,76.077
binarytrees,go,1,12,516,0.228,256,0,4% 0% 4% 100%,0.233
binarytrees,go,1,16,516,5.700,29916,0,2% 2% 1% 100%,5.711
binarytrees,go,1,20,516,123.732,475328,0,0% 0% 0% 100%,123.885
binarytrees,gcc,2,12,594,0.011,0,0,0% 0% 0% 100%,0.012
binarytrees,gcc,2,16,594,0.134,0,0,0% 0% 0% 100%,0.135
binarytrees,gcc,2,20,594,3.425,49536,0,1% 1% 1% 100%,3.430
binarytrees,go,2,12,694,0.260,256,0,0% 0% 4% 100%,0.264
binarytrees,go,2,16,694,6.524,38180,0,0% 0% 0% 100%,6.535
binarytrees,go,2,20,694,138.896,560980,0,0% 0% 0% 100%,139.061
binarytrees,gnat,4,12,2167,0.029,0,0,0% 0% 0% 75%,0.040
binarytrees,gnat,4,16,2167,0.515,12928,0,2% 0% 4% 98%,0.528
binarytrees,gnat,4,20,2167,10.860,158352,0,0% 0% 1% 100%,10.884
binarytrees,csharp,2,12,650,0.236,604,0,0% 0% 4% 100%,0.238
binarytrees,csharp,2,16,650,4.208,42068,0,0% 0% 0% 100%,4.218
binarytrees,csharp,2,20,650,90.112,473180,0,0% 0% 0% 100%,90.220
binarytrees,gnat,3,12,1342,0.235,1104,0,0% 4% 0% 92%,0.247
binarytrees,gnat,3,16,1342,4.772,42840,0,6% 2% 2% 100%,4.787
binarytrees,gnat,3,20,1342,98.380,656640,0,0% 0% 1% 100%,98.451
binarytrees,gcc,5,12,963,0.148,0,0,0% 0% 0% 100%,0.149
binarytrees,gcc,5,16,963,3.465,13596,0,1% 1% 1% 100%,3.469
binarytrees,gcc,5,20,963,78.262,219160,0,0% 0% 1% 100%,78.321
binarytrees,go,5,12,1000,0.252,256,0,0% 0% 4% 100%,0.255
binarytrees,go,5,16,1000,6.384,37228,0,0% 1% 0% 100%,6.394
binarytrees,go,5,20,1000,137.364,512748,0,0% 0% 0% 100%,137.524
binarytrees,gnat,1,12,955,0.077,0,0,11% 0% 0% 100%,0.079
binarytrees,gnat,1,16,955,1.717,9684,0,2% 0% 1% 100%,1.719
binarytrees,gnat,1,20,955,38.018,198176,0,0% 0% 0% 100%,38.044
binarytrees,clojure,6,12,705,1.984,56044,0,1% 1% 0% 100%,1.990
binarytrees,clojure,6,16,705,2.972,301792,0,0% 0% 0% 100%,2.981
binarytrees,clojure,6,20,705,24.012,532384,0,0% 0% 0% 100%,24.049
binarytrees,php,1,12,504,1.076,6816,0,1% 0% 1% 100%,1.079
binarytrees,php,1,16,504,28.136,63068,0,0% 0% 0% 100%,28.168
binarytrees,php,1,20,504,710.928,1021852,0,0% 0% 0% 100%,711.876
binarytrees,ocaml,5,12,496,0.032,0,0,0% 0% 0% 100%,0.036
binarytrees,ocaml,5,16,496,1.404,14188,0,1% 0% 1% 100%,1.409
binarytrees,ocaml,5,20,496,43.800,232168,0,0% 0% 0% 100%,43.866
binarytrees,java,1,12,1007,0.128,0,0,0% 0% 7% 92%,0.134
binarytrees,java,1,16,1007,0.832,148804,0,1% 0% 2% 100%,0.840
binarytrees,java,1,20,1007,19.956,530080,0,0% 0% 0% 100%,19.988
binarytrees,gpp,6,12,892,0.000,0,-11,%,0.000
binarytrees,gpp,6,16,892,0.000,0,-11,%,0.000
binarytrees,gpp,6,20,892,0.000,0,-11,%,0.000
binarytreesredux,scala,4,12,498,0.268,432,0,0% 0% 7% 100%,0.273
binarytreesredux,scala,4,16,498,0.968,67912,0,0% 0% 1% 100%,0.973
binarytreesredux,scala,4,20,498,92.284,159064,0,0% 0% 0% 100%,92.360
binarytreesredux,jruby,1,12,412,5.476,191800,0,0% 1% 0% 100%,5.528
binarytreesredux,jruby,1,16,412,13.384,602420,0,0% 0% 0% 100%,13.413
binarytreesredux,jruby,1,20,412,0.000,858672,-2,0% 0% 0% 100%,700.522
binarytreesredux,clojure,1,12,661,1.924,62036,0,1% 1% 0% 100%,1.930
binarytreesredux,clojure,1,16,661,3.028,108460,0,0% 1% 0% 100%,3.037
binarytreesredux,clojure,1,20,661,97.224,232708,0,0% 0% 0% 100%,97.317
binarytreesredux,ghc,1,12,521,0.064,0,0,0% 0% 0% 100%,0.067
binarytreesredux,ghc,1,16,521,0.908,167888,0,0% 1% 1% 100%,0.920
binarytreesredux,ghc,1,20,521,33.150,259452,0,0% 0% 0% 100%,33.200
binarytreesredux,java,2,12,607,0.132,0,0,0% 0% 0% 93%,0.135
binarytreesredux,java,2,16,607,0.932,62652,0,0% 0% 1% 100%,0.935
binarytreesredux,java,2,20,607,127.180,154832,0,0% 0% 0% 100%,127.308
binarytreesredux,clojure,6,12,709,1.896,62992,0,1% 0% 0% 100%,1.903
binarytreesredux,clojure,6,16,709,2.948,104104,0,0% 1% 0% 100%,2.955
binarytreesredux,clojure,6,20,709,107.296,226144,0,0% 0% 0% 100%,107.395
binarytreesredux,sbcl,2,12,649,0.056,0,0,0% 0% 0% 100%,0.059
binarytreesredux,sbcl,2,16,649,0.952,35696,0,0% 0% 1% 100%,0.958
binarytreesredux,sbcl,2,20,649,30.204,408488,0,0% 0% 0% 100%,30.265
chameneosredux,gcc,5,60000,2863,0.086,0,0,0% 0% 0% 100%,0.088
chameneosredux,gcc,5,600000,2863,0.792,664,0,1% 0% 1% 100%,0.793
chameneosredux,gcc,5,6000000,2863,7.779,664,0,1% 1% 1% 100%,7.783
chameneosredux,ghc,4,60000,991,0.392,576,0,0% 0% 3% 100%,0.394
chameneosredux,ghc,4,600000,991,4.284,3752,0,5% 1% 3% 100%,4.289
chameneosredux,ghc,4,6000000,991,42.523,4260,0,0% 0% 0% 100%,42.535
chameneosredux,ocaml,1,60000,1279,0.832,3260,0,0% 0% 1% 99%,0.835
chameneosredux,ocaml,1,600000,1279,8.260,3276,0,0% 0% 0% 100%,8.268
chameneosredux,ocaml,1,6000000,1279,80.552,3276,0,0% 0% 0% 100%,80.583
chameneosredux,scala,2,60000,1171,0.480,21564,0,0% 0% 2% 100%,0.483
chameneosredux,scala,2,600000,1171,1.508,46684,0,1% 0% 1% 100%,1.514
chameneosredux,scala,2,6000000,1171,11.132,155860,0,0% 0% 0% 100%,11.142
chameneosredux,java,2,60000,1429,0.264,432,0,0% 0% 4% 100%,0.269
chameneosredux,java,2,600000,1429,1.260,34724,0,0% 2% 2% 99%,1.264
chameneosredux,java,2,6000000,1429,10.540,35888,0,0% 0% 0% 100%,10.549
chameneosredux,jruby,1,60000,928,9.068,128792,0,0% 0% 0% 100%,9.087
chameneosredux,jruby,1,600000,928,12.696,334616,0,0% 0% 0% 100%,12.729
chameneosredux,jruby,1,6000000,928,39.020,489912,0,0% 0% 0% 100%,39.070
chameneosredux,gpp,1,60000,2449,0.000,0,-11,%,0.000
chameneosredux,gpp,1,600000,2449,0.000,0,-11,%,0.000
chameneosredux,gpp,1,6000000,2449,0.000,0,-11,%,0.000
chameneosredux,sbcl,3,60000,2907,0.100,0,0,0% 0% 0% 92%,0.105
chameneosredux,sbcl,3,600000,2907,0.900,5820,0,0% 0% 1% 100%,0.905
chameneosredux,sbcl,3,6000000,2907,8.840,5824,0,1% 0% 1% 100%,8.844
chameneosredux,hipe,1,60000,734,0.224,620,0,0% 0% 4% 100%,0.262
chameneosredux,hipe,1,600000,734,1.012,12296,0,0% 0% 1% 100%,1.019
chameneosredux,hipe,1,6000000,734,8.909,12120,0,0% 0% 0% 100%,8.918
chameneosredux,gnat,2,60000,6001,2.120,1984,0,1% 1% 0% 100%,2.132
chameneosredux,gnat,2,600000,6001,21.108,1984,0,2% 1% 1% 100%,21.124
chameneosredux,gnat,2,6000000,6001,211.009,1984,0,0% 0% 1% 100%,211.068
chameneosredux,ghc,1,60000,991,0.044,0,0,17% 0% 0% 100%,0.050
chameneosredux,ghc,1,600000,991,0.504,2000,0,0% 0% 2% 100%,0.509
chameneosredux,ghc,1,6000000,991,5.192,1996,0,0% 0% 0% 100%,5.198
chameneosredux,go,5,60000,957,0.056,0,0,0% 0% 0% 86%,0.058
chameneosredux,go,5,600000,957,0.460,1272,0,0% 0% 4% 100%,0.465
chameneosredux,go,5,6000000,957,4.528,1272,0,0% 0% 0% 100%,4.533
chameneosredux,java,3,60000,1267,0.920,26560,0,0% 0% 1% 100%,0.926
chameneosredux,java,3,600000,1267,6.952,37580,0,0% 0% 1% 100%,6.960
chameneosredux,java,3,6000000,1267,66.576,38724,0,0% 0% 0% 100%,66.602
chameneosredux,gcc,2,60000,1663,0.087,0,0,0% 0% 0% 100%,0.089
chameneosredux,gcc,2,600000,1663,0.857,672,0,0% 0% 2% 100%,0.859
chameneosredux,gcc,2,6000000,1663,8.278,672,0,1% 0% 1% 100%,8.282
chameneosredux,gpp,5,60000,1994,0.085,0,0,0% 0% 0% 100%,0.087
chameneosredux,gpp,5,600000,1994,0.789,1384,0,3% 0% 1% 100%,0.791
chameneosredux,gpp,5,6000000,1994,7.715,1388,0,1% 1% 1% 100%,7.718
chameneosredux,csharp,1,60000,1400,0.288,600,0,0% 0% 3% 100%,0.294
chameneosredux,csharp,1,600000,1400,1.668,17568,0,0% 0% 1% 100%,1.670
